text,lemma,pos,tag,morph,nearest,similarity,precedes
parte,parte,NOUN,S,Gender=Fem|Number=Sing,gran,0.6284207701683044,NO
tempo,tempo,NOUN,S,Gender=Masc|Number=Sing,lasso,0.6874811053276062,NO
anno,anno,NOUN,S,Gender=Masc|Number=Sing,mese,0.746475875377655,NO
modo,modo,NOUN,S,Gender=Masc|Number=Sing,maniera,0.6689660549163818,NO
vita,vita,NOUN,S,Gender=Fem|Number=Sing,quotidianità,0.6628544330596924,NO
casa,casa,NOUN,S,Gender=Fem|Number=Sing,abitazione,0.6752430200576782,NO
volta,volta,NOUN,S,Gender=Fem|Number=Sing,prima,0.7549093961715698,NO
mondo,mondo,NOUN,S,Gender=Masc|Number=Sing,continente,0.6482898592948914,NO
film,film,NOUN,S,Gender=Masc,lungometraggio,0.7358296513557434,NO
caso,caso,NOUN,S,Gender=Masc|Number=Sing,questo,0.6453240513801575,NO
lavoro,lavoro,NOUN,S,Gender=Masc|Number=Sing,lavorativo,0.6025575995445251,NO
serie,serie,NOUN,S,Gender=Fem,televisiva,0.5601380467414856,NO
nome,nome,NOUN,S,Gender=Masc|Number=Sing,cognome,0.6966883540153503,NO
fine,fine,NOUN,S,Gender=Fem|Number=Sing,inizio,0.6658462882041931,NO
maggio,maggio,NOUN,S,Gender=Masc|Number=Sing,marzo,0.9234462976455688,NO
giorno,giorno,NOUN,S,Gender=Masc|Number=Sing,mese,0.6780027151107788,NO
storia,storia,NOUN,S,Gender=Fem|Number=Sing,storica,0.6591857671737671,NO
numero,numero,NOUN,S,Gender=Masc|Number=Sing,esiguo,0.5803369879722595,NO
punto,punto,NOUN,S,Gender=Masc|Number=Sing,vista,0.6560428142547607,NO
base,base,NOUN,S,Gender=Fem|Number=Sing,sulla,0.6147251129150391,NO
posto,posto,NOUN,S,Gender=Masc|Number=Sing,terzo,0.5930598974227905,NO
marzo,marzo,NOUN,S,Gender=Masc|Number=Sing,febbraio,0.9783260226249695,NO
settembre,settembre,NOUN,S,Gender=Masc|Number=Sing,ottobre,0.965943455696106,NO
gruppo,gruppo,NOUN,S,Gender=Masc|Number=Sing,gruppetto,0.7012093663215637,NO
momento,momento,NOUN,S,Gender=Masc|Number=Sing,quel,0.6434153914451599,NO
aprile,aprile,NOUN,S,Gender=Masc|Number=Sing,marzo,0.9728773832321167,YES
famiglia,famiglia,NOUN,S,Gender=Fem|Number=Sing,famigliare,0.6205845475196838,NO
sistema,sistema,NOUN,S,Gender=Masc|Number=Sing,meccanismo,0.7077982425689697,NO
giugno,giugno,NOUN,S,Gender=Masc|Number=Sing,luglio,0.968877911567688,NO
gennaio,gennaio,NOUN,S,Gender=Masc|Number=Sing,febbraio,0.9583643078804016,NO
ottobre,ottobre,NOUN,S,Gender=Masc|Number=Sing,novembre,0.9760345816612244,NO
stagione,stagione,NOUN,S,Gender=Fem|Number=Sing,primavera,0.6539064645767212,NO
dicembre,dicembre,NOUN,S,Gender=Masc|Number=Sing,novembre,0.9570050835609436,NO
grazie,grazie,NOUN,S,,ringrazio,0.5343784689903259,NO
centro,centro,NOUN,S,Gender=Masc|Number=Sing,storico,0.6407065987586975,NO
servizio,servizio,NOUN,S,Gender=Masc|Number=Sing,servizi,0.5525572299957275,NO
luglio,luglio,NOUN,S,Gender=Masc|Number=Sing,giugno,0.9688778519630432,YES
novembre,novembre,NOUN,S,Gender=Masc|Number=Sing,ottobre,0.9760345220565796,YES
febbraio,febbraio,NOUN,S,Gender=Masc|Number=Sing,marzo,0.9783259630203247,YES
